filepath,readable_date,readable_time,frames,duration,ROI
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-02_14-17-51-842263.mp4,02.02.2026,14h17m51s,2910,97.0,"244,14,1264,893"
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-02_14-27-30-186276.mp4,02.02.2026,14h27m30s,2850,95.0,"108,36,1249,922"
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-02_16-43-17-551360.mp4,02.02.2026,16h43m17s,8076,269.2,"237,2,1330,1012"
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-03_11-07-40-499569.mp4,03.02.2026,11h07m40s,6574,219.133333,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-03_13-26-24-296249.mp4,03.02.2026,13h26m24s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-03_15-09-13-138503.mp4,03.02.2026,15h09m13s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-04_09-58-09-571145.mp4,04.02.2026,09h58m09s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-04_12-57-01-050890.mp4,04.02.2026,12h57m01s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-04_14-20-19-224078.mp4,04.02.2026,14h20m19s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-04_16-43-04-418501.mp4,04.02.2026,16h43m04s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-05_11-38-01-262923.mp4,05.02.2026,11h38m01s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-05_14-54-30-721465.mp4,05.02.2026,14h54m30s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-06_14-08-22-577112.mp4,06.02.2026,14h08m22s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-06_14-59-34-064128.mp4,06.02.2026,14h59m34s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-01/cyclesix/owl/2026-02-09_11-23-36-597864.mp4,09.02.2026,11h23m36s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-02_14-54-58-545032.mp4,02.02.2026,14h54m58s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-02_16-56-06-363335.mp4,02.02.2026,16h56m06s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-03_09-53-38-232852.mp4,03.02.2026,09h53m38s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-03_13-19-06-952162.mp4,03.02.2026,13h19m06s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-03_14-49-21-850321.mp4,03.02.2026,14h49m21s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-04_10-04-46-162823.mp4,04.02.2026,10h04m46s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-04_11-23-12-411578.mp4,04.02.2026,11h23m12s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-04_14-20-59-887019.mp4,04.02.2026,14h20m59s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-05_10-14-09-767633.mp4,05.02.2026,10h14m09s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-05_13-15-18-528943.mp4,05.02.2026,13h15m18s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-10_11-12-07-661530.mp4,10.02.2026,11h12m07s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-10_13-41-29-108590.mp4,10.02.2026,13h41m29s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-10_15-10-05-229879.mp4,10.02.2026,15h10m05s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-04/cyclesix/owl/2026-02-11_12-27-10-681650.mp4,11.02.2026,12h27m10s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/owl/2026-02-02_17-15-02-773238.mp4,02.02.2026,17h15m02s,,,
