filepath	readable_date	readable_time	login	status_website	submitted	tentativas	qualtrics
./aixlab-01/cyclesix/cyclesix_screen_20260202_141735.mp4	02.02.2026	14h17m35s					
./aixlab-01/cyclesix/cyclesix_screen_20260202_142713.mp4	02.02.2026	14h27m13s					
./aixlab-01/cyclesix/cyclesix_screen_20260202_164227.mp4	02.02.2026	16h42m27s					
./aixlab-01/cyclesix/cyclesix_screen_20260203_110600.mp4	03.02.2026	11h06m00s					
./aixlab-01/cyclesix/cyclesix_screen_20260203_132149.mp4	03.02.2026	13h21m49s					
./aixlab-01/cyclesix/cyclesix_screen_20260203_150823.mp4	03.02.2026	15h08m23s					
./aixlab-01/cyclesix/cyclesix_screen_20260204_095646.mp4	04.02.2026	09h56m46s					
./aixlab-01/cyclesix/cyclesix_screen_20260204_125610.mp4	04.02.2026	12h56m10s					
./aixlab-01/cyclesix/cyclesix_screen_20260204_141814.mp4	04.02.2026	14h18m14s					
./aixlab-01/cyclesix/cyclesix_screen_20260204_164059.mp4	04.02.2026	16h40m59s					
./aixlab-01/cyclesix/cyclesix_screen_20260205_113637.mp4	05.02.2026	11h36m37s					
./aixlab-01/cyclesix/cyclesix_screen_20260205_145323.mp4	05.02.2026	14h53m23s					
./aixlab-01/cyclesix/cyclesix_screen_20260206_140707.mp4	06.02.2026	14h07m07s					
./aixlab-01/cyclesix/cyclesix_screen_20260206_145703.mp4	06.02.2026	14h57m03s					
./aixlab-01/cyclesix/cyclesix_screen_20260209_112114.mp4	09.02.2026	11h21m14s					
./aixlab-04/cyclesix/cyclesix_screen_20260202_145416.mp4	02.02.2026	14h54m16s					
./aixlab-04/cyclesix/cyclesix_screen_20260202_165451.mp4	02.02.2026	16h54m51s					
./aixlab-04/cyclesix/cyclesix_screen_20260203_095108.mp4	03.02.2026	09h51m08s					
./aixlab-04/cyclesix/cyclesix_screen_20260203_131710.mp4	03.02.2026	13h17m10s					
./aixlab-04/cyclesix/cyclesix_screen_20260203_144831.mp4	03.02.2026	14h48m31s					
./aixlab-04/cyclesix/cyclesix_screen_20260204_100355.mp4	04.02.2026	10h03m55s					
./aixlab-04/cyclesix/cyclesix_screen_20260204_112230.mp4	04.02.2026	11h22m30s					
./aixlab-04/cyclesix/cyclesix_screen_20260204_141559.mp4	04.02.2026	14h15m59s					
./aixlab-04/cyclesix/cyclesix_screen_20260205_101327.mp4	05.02.2026	10h13m27s					
./aixlab-04/cyclesix/cyclesix_screen_20260205_131420.mp4	05.02.2026	13h14m20s					
./aixlab-04/cyclesix/cyclesix_screen_20260210_110839.mp4	10.02.2026	11h08m39s					
./aixlab-04/cyclesix/cyclesix_screen_20260210_133718.mp4	10.02.2026	13h37m18s					
./aixlab-04/cyclesix/cyclesix_screen_20260210_150718.mp4	10.02.2026	15h07m18s					
./aixlab-04/cyclesix/cyclesix_screen_20260211_122547.mp4	11.02.2026	12h25m47s					
./aixlab-05/cyclesix/cyclesix_screen_20260202_171257.mp4	02.02.2026	17h12m57s					
./aixlab-05/cyclesix/cyclesix_screen_20260203_111012.mp4	03.02.2026	11h10m12s					
./aixlab-05/cyclesix/cyclesix_screen_20260203_132559.mp4	03.02.2026	13h25m59s					
./aixlab-05/cyclesix/cyclesix_screen_20260203_145700.mp4	03.02.2026	14h57m00s					
./aixlab-05/cyclesix/cyclesix_screen_20260204_095843.mp4	04.02.2026	09h58m43s					
./aixlab-05/cyclesix/cyclesix_screen_20260204_113640.mp4	04.02.2026	11h36m40s					
./aixlab-05/cyclesix/cyclesix_screen_20260204_124329.mp4	04.02.2026	12h43m29s					
./aixlab-05/cyclesix/cyclesix_screen_20260204_141646.mp4	04.02.2026	14h16m46s					
./aixlab-05/cyclesix/cyclesix_screen_20260204_163807.mp4	04.02.2026	16h38m07s					
./aixlab-05/cyclesix/cyclesix_screen_20260205_145326.mp4	05.02.2026	14h53m26s					
./aixlab-05/cyclesix/cyclesix_screen_20260206_140716.mp4	06.02.2026	14h07m16s					
./aixlab-05/cyclesix/cyclesix_screen_20260209_112111.mp4	09.02.2026	11h21m11s					
./aixlab-06/cyclesix/cyclesix_screen_20260202_151716.mp4	02.02.2026	15h17m16s					
./aixlab-06/cyclesix/cyclesix_screen_20260202_164756.mp4	02.02.2026	16h47m56s					
./aixlab-06/cyclesix/cyclesix_screen_20260203_095158.mp4	03.02.2026	09h51m58s					
./aixlab-06/cyclesix/cyclesix_screen_20260203_113601.mp4	03.02.2026	11h36m01s					
./aixlab-06/cyclesix/cyclesix_screen_20260203_133450.mp4	03.02.2026	13h34m50s					
./aixlab-06/cyclesix/cyclesix_screen_20260203_145945.mp4	03.02.2026	14h59m45s					
./aixlab-06/cyclesix/cyclesix_screen_20260204_095804.mp4	04.02.2026	09h58m04s					
./aixlab-06/cyclesix/cyclesix_screen_20260204_113713.mp4	04.02.2026	11h37m13s					
./aixlab-06/cyclesix/cyclesix_screen_20260204_130444.mp4	04.02.2026	13h04m44s					
./aixlab-06/cyclesix/cyclesix_screen_20260204_142013.mp4	04.02.2026	14h20m13s					
./aixlab-06/cyclesix/cyclesix_screen_20260204_164520.mp4	04.02.2026	16h45m20s					
./aixlab-06/cyclesix/cyclesix_screen_20260206_135318.mp4	06.02.2026	13h53m18s					
./aixlab-06/cyclesix/cyclesix_screen_20260206_145436.mp4	06.02.2026	14h54m36s					
./aixlab-06/cyclesix/cyclesix_screen_20260210_110826.mp4	10.02.2026	11h08m26s					
./aixlab-06/cyclesix/cyclesix_screen_20260210_150338.mp4	10.02.2026	15h03m38s					
./aixlab-06/cyclesix/cyclesix_screen_20260211_104138.mp4	11.02.2026	10h41m38s					
